category,Relevant by ASReview LAB,Random relevant
530,252,74
531,252,74
532,252,74
533,252,75
534,252,75
535,253,75
536,253,75
537,253,75
538,253,75
539,254,75
540,254,76
541,254,76
542,254,76
543,254,76
544,254,76
545,254,76
546,255,76
547,255,77
548,256,77
549,256,77
550,256,77
551,256,77
552,256,77
553,256,77
554,256,78
555,256,78
556,256,78
557,256,78
558,256,78
559,256,78
560,256,78
561,256,79
562,256,79
563,257,79
564,257,79
565,257,79
566,257,79
567,257,79
568,257,80
569,257,80
570,257,80
571,257,80
572,257,80
573,257,80
574,257,80
575,257,80
576,257,81
577,257,81
578,257,81
579,257,81
580,257,81
581,257,81
582,257,81
583,257,82
584,257,82
585,257,82
586,257,82
587,258,82
588,258,82
589,258,82
590,258,83
591,258,83
592,258,83
593,259,83
594,259,83
595,259,83
596,259,83
597,259,84
598,259,84
599,259,84
600,259,84
601,260,84
602,260,84
603,260,84
604,260,85
605,260,85
606,260,85
607,260,85
608,260,85
609,260,85
610,260,85
611,260,86
612,261,86
613,261,86
614,261,86
615,261,86
616,261,86
617,261,86
618,261,87
619,261,87
620,261,87
621,261,87
622,261,87
623,261,87
624,261,87
625,261,87
626,261,88
627,261,88
628,261,88
629,261,88
630,261,88
631,261,88
632,261,88
633,261,89
634,261,89
635,261,89
636,261,89
637,261,89
638,261,89
639,261,89
640,261,90
641,261,90
642,261,90
643,261,90
644,261,90
645,262,90
646,262,90
647,262,91
648,262,91
649,263,91
650,263,91
651,263,91
652,263,91
653,263,91
654,263,92
655,263,92
656,263,92
657,263,92
658,263,92
659,263,92
660,263,92
661,263,93
662,263,93
663,263,93
664,263,93
665,263,93
666,263,93
667,263,93
668,264,94
669,264,94
670,264,94
671,264,94
672,264,94
673,264,94
674,264,94
675,264,94
676,264,95
677,264,95
678,264,95
679,264,95
680,264,95
681,264,95
682,264,95
683,264,96
684,264,96
685,264,96
686,265,96
687,265,96
688,265,96
689,265,96
690,265,97
691,265,97
692,265,97
693,265,97
694,265,97
695,265,97
696,265,97
697,265,98
698,265,98
699,266,98
700,266,98
701,266,98
702,266,98
703,266,98
704,266,99
705,266,99
706,266,99
707,267,99
708,267,99
709,267,99
710,267,99
711,267,100
712,267,100
713,267,100
714,267,100
715,267,100
716,267,100
717,267,100
718,267,101
719,267,101
720,267,101
721,268,101
722,268,101
723,268,101
724,268,101
725,268,101
726,268,102
727,268,102
728,268,102
729,268,102
730,268,102
731,268,102
732,268,102
733,268,103
734,268,103
735,268,103
736,268,103
737,268,103
738,268,103
739,268,103
740,268,104
741,268,104
742,268,104
743,268,104
744,268,104
745,268,104
746,268,104
747,268,105
748,268,105
749,269,105
750,269,105
751,269,105
752,269,105
753,269,105
754,270,106
755,270,106
756,270,106
757,270,106
758,270,106
759,270,106
760,270,106
761,270,107
762,270,107
763,270,107
764,270,107
765,270,107
766,270,107
767,270,107
768,270,108
769,270,108
770,270,108
771,270,108
772,270,108
773,270,108
774,270,108
775,270,108
776,270,109
777,271,109
778,271,109
779,271,109
780,271,109
781,271,109
782,271,109
783,271,110
784,271,110
785,271,110
786,271,110
787,271,110
788,271,110
789,271,110
790,271,111
791,271,111
792,272,111
793,272,111
794,272,111
795,272,111
796,272,111
797,272,112
798,272,112
799,272,112
800,272,112
801,272,112
802,272,112
803,272,112
804,272,113
805,272,113
806,272,113
807,272,113
808,272,113
809,272,113
810,272,113
811,272,114
812,272,114
813,272,114
814,272,114
815,272,114
816,272,114
817,272,114
818,272,115
819,272,115
820,272,115
821,272,115
822,272,115
823,272,115
824,272,115
825,272,115
826,272,116
827,272,116
828,272,116
829,272,116
830,272,116
831,272,116
832,272,116
833,272,117
834,272,117
835,272,117
836,272,117
837,272,117
838,272,117
839,272,117
840,272,118
841,272,118
842,272,118
843,272,118
844,272,118
845,272,118
846,272,118
847,272,119
848,272,119
849,272,119
850,272,119
851,272,119
852,272,119
853,272,119
854,273,120
855,273,120
856,273,120
857,273,120
858,273,120
859,273,120
860,273,120
861,273,121
862,273,121
863,273,121
864,273,121
865,273,121
866,273,121
867,273,121
868,273,122
869,273,122
870,273,122
871,273,122
872,273,122
873,273,122
874,273,122
875,273,122
876,273,123
877,273,123
878,273,123
879,273,123
880,273,123
881,273,123
882,273,123
883,273,124
884,273,124
885,273,124
886,273,124
887,273,124
888,273,124
889,273,124
890,273,125
891,273,125
892,273,125
893,273,125
894,273,125
895,273,125
896,273,125
897,274,126
898,274,126
899,274,126
900,274,126
901,274,126
902,274,126
903,274,126
904,274,127
905,274,127
906,274,127
907,274,127
908,274,127
909,274,127
910,274,127
911,274,128
912,274,128
913,274,128
914,274,128
915,274,128
916,274,128
917,274,128
918,274,129
919,274,129
920,274,129
921,274,129
922,274,129
923,274,129
924,274,129
925,274,129
926,274,130
927,274,130
928,274,130
929,274,130
930,274,130
931,274,130
932,274,130
933,274,131
934,274,131
935,274,131
936,274,131
937,274,131
938,274,131
939,274,131
940,274,132
941,274,132
942,274,132
943,274,132
944,274,132
945,274,132
946,274,132
947,274,133
948,274,133
949,274,133
950,274,133
951,274,133
952,274,133
953,274,133
954,274,134
955,274,134
956,274,134
957,274,134
958,274,134
959,274,134
960,274,134
961,274,135
962,274,135
963,274,135
964,274,135
965,274,135
966,274,135
967,274,135
968,274,136
969,274,136
970,274,136
971,274,136
972,274,136
973,274,136
974,274,136
975,274,136
976,274,137
977,274,137
978,274,137
979,274,137
980,274,137
981,274,137
982,274,137
983,274,138
984,274,138
985,274,138
986,274,138
987,274,138
988,274,138
989,274,138
990,274,139
991,274,139
992,274,139
993,274,139
994,274,139
995,274,139
996,274,139
997,274,140
998,274,140
999,274,140
1000,274,140
1001,274,140
1002,274,140
1003,274,140
1004,274,141
1005,274,141
1006,274,141
1007,274,141
1008,274,141
1009,274,141
1010,274,141
1011,274,142
1012,274,142
1013,274,142
1014,274,142
1015,274,142
1016,274,142
1017,274,142
1018,274,143
1019,274,143
1020,274,143
1021,274,143
1022,274,143
1023,274,143
1024,274,143
1025,274,143
1026,274,144
1027,274,144
1028,274,144
1029,274,144
1030,274,144
1031,274,144
1032,274,144
1033,274,145
1034,274,145
1035,274,145
1036,274,145
1037,275,145
1038,275,145
1039,275,145
1040,275,146
1041,275,146
1042,275,146
1043,275,146
1044,275,146
1045,275,146
1046,275,146
1047,275,147
1048,275,147
1049,275,147
1050,275,147
1051,275,147
1052,275,147
1053,275,147
1054,275,148
1055,275,148
1056,275,148
1057,275,148
1058,275,148
1059,275,148
1060,275,148
1061,275,149
1062,275,149
1063,275,149
1064,275,149
1065,275,149
1066,275,149
1067,275,149
1068,275,150
1069,275,150
1070,275,150
1071,275,150
1072,275,150
1073,275,150
1074,275,150
1075,275,150
1076,275,151
1077,275,151
1078,275,151
1079,275,151
1080,275,151
1081,275,151
1082,275,151
1083,275,152
1084,275,152
1085,275,152
1086,275,152
1087,275,152
1088,275,152
1089,275,152
1090,275,153
1091,275,153
1092,275,153
1093,275,153
1094,275,153
1095,275,153
1096,275,153
1097,275,154
1098,275,154
1099,275,154
1100,275,154
1101,275,154
1102,275,154
1103,275,154
1104,275,155
1105,275,155
1106,275,155
1107,275,155
1108,275,155
1109,275,155
1110,275,155
1111,275,156
1112,275,156
1113,275,156
1114,275,156
1115,275,156
1116,275,156
1117,275,156
1118,275,157
1119,275,157
1120,275,157
1121,275,157
1122,275,157
1123,275,157
1124,275,157
1125,275,157
1126,275,158
1127,275,158
1128,275,158
1129,275,158
1130,275,158
1131,275,158
1132,275,158
1133,275,159
1134,275,159
1135,275,159
1136,275,159
1137,275,159
1138,275,159
1139,275,159
1140,275,160
1141,275,160
1142,275,160
1143,275,160
1144,275,160
1145,275,160
1146,275,160
1147,275,161
1148,275,161
